0	10	999	999	999	999	5	1	999	999	999	999	999
10	0	999	20	8	10	999	999	12	999	999	999	999
999	999	0	999	999	3	999	5	999	15	999	999	999
999	20	999	0	999	3	999	999	1	999	999	999	20
999	8	999	999	0	999	5	999	7	999	999	999	999
999	10	3	3	999	0	999	3	999	6	999	999	11
5	999	999	999	5	999	0	999	999	999	999	999	999
1	999	5	999	999	3	999	0	999	999	999	999	999
999	12	999	1	7	999	999	999	0	999	999	999	2
999	999	15	999	999	6	999	999	999	0	4	999	999
999	999	999	999	999	999	999	999	999	4	0	999	5
999	999	999	999	999	999	999	999	999	999	999	0	999
999	999	999	20	999	11	999	999	2	999	5	999	0
